"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"QB1","7","5 out of 5","1 out of 5","3 out of 5 stars","+1"
"2",1,"Lamar Jackson",BAL,"QB2","13","4 out of 5","3 out of 5","3 out of 5 stars","+5"
"3",1,"Drake Maye",NE,"QB3","11","5 out of 5","2 out of 5","2 out of 5 stars","+6"
"4",1,"Joe Burrow",CIN,"QB4","6","4 out of 5","3 out of 5","3 out of 5 stars","+9"
"5",1,"Jayden Daniels",WAS,"QB5","7","4 out of 5","4 out of 5","2 out of 5 stars","+9"
"6",1,"Jalen Hurts",PHI,"QB6","10","4 out of 5","3 out of 5","5 out of 5 stars","+16"
"7",1,"Jahmyr Gibbs",DET,"RB1","6","5 out of 5","1 out of 5","5 out of 5 stars","-6"
"8",2,"Bijan Robinson",ATL,"RB2","11","5 out of 5","1 out of 5","2 out of 5 stars","-5"
"9",2,"Ja'Marr Chase",CIN,"WR1","6","5 out of 5","1 out of 5","4 out of 5 stars","-5"
"10",2,"Caleb Williams",CHI,"QB7","10","5 out of 5","2 out of 5","3 out of 5 stars","+11"
"11",2,"Puka Nacua",LAR,"WR2","11","5 out of 5","2 out of 5","1 out of 5 stars","-6"
"12",2,"Justin Herbert",LAC,"QB8","7","5 out of 5","2 out of 5","2 out of 5 stars","+15"
"13",2,"Jaxon Smith-Njigba",SEA,"WR3","11","5 out of 5","2 out of 5","3 out of 5 stars","-7"
"14",2,"Amon-Ra St. Brown",DET,"WR4","6","5 out of 5","1 out of 5","4 out of 5 stars","-3"
"15",2,"Trevor Lawrence",JAC,"QB9","7","5 out of 5","2 out of 5","4 out of 5 stars","+17"
"16",2,"Dak Prescott",DAL,"QB10","14","4 out of 5","2 out of 5","2 out of 5 stars","+15"
"17",2,"Christian McCaffrey",SF,"RB3","8","4 out of 5","4 out of 5","2 out of 5 stars","-9"
"18",2,"Jonathan Taylor",IND,"RB4","13","4 out of 5","3 out of 5","4 out of 5 stars","-8"
"19",3,"James Cook III",BUF,"RB5","7","5 out of 5","2 out of 5","2 out of 5 stars","-7"
"20",3,"CeeDee Lamb",DAL,"WR5","14","4 out of 5","2 out of 5","2 out of 5 stars","-3"
