Rank,Player,Pos,Team,Age,Value
1,Josh Allen,QB,BUF,30.3,10343
2,Jahmyr Gibbs,RB,DET,24.5,10190
3,Bijan Robinson,RB,ATL,24.6,10021
4,Ja'Marr Chase,WR,CIN,26.5,9628
5,Jaxon Smith-Njigba,WR,SEA,24.6,8691
6,Drake Maye,QB,NE,24.0,8426
7,Puka Nacua,WR,LAR,25.3,8306
8,Lamar Jackson,QB,BAL,29.7,7663
9,Amon-Ra St. Brown,WR,DET,26.9,7577
10,Brock Bowers,TE,LV,23.7,7407
11,Caleb Williams,QB,CHI,24.8,7028
12,Jayden Daniels,QB,WAS,25.7,6824
13,Justin Jefferson,WR,MIN,27.2,6642
14,Joe Burrow,QB,CIN,29.7,6592
15,Malik Nabers,WR,NYG,23.1,6546
16,Jeremiyah Love,RB,ARI,21.3,6429
17,Trey McBride,TE,ARI,26.8,6423
18,CeeDee Lamb,WR,DAL,27.4,6345
19,Omarion Hampton,RB,LAC,23.5,6199
20,Ashton Jeanty,RB,LV,22.8,6167
21,De'Von Achane,RB,MIA,24.9,6070
22,Jalen Hurts,QB,PHI,28.1,5714
23,Justin Herbert,QB,LAC,28.5,5699
24,Jonathan Taylor,RB,IND,27.6,5633
25,Drake London,WR,ATL,25.1,5452
26,James Cook,RB,BUF,26.9,5365
27,Patrick Mahomes,QB,KC,31.0,5252
28,Colston Loveland,TE,CHI,22.4,5059
29,Trevor Lawrence,QB,JAX,26.9,5057
30,Bo Nix,QB,DEN,26.5,4972
31,George Pickens,WR,DAL,25.5,4857
32,Jaxson Dart,QB,NYG,23.3,4853
33,Tetairoa McMillan,WR,CAR,23.4,4645
34,Christian McCaffrey,RB,SF,30.2,4605
35,Chase Brown,RB,CIN,26.5,4467
36,Emeka Egbuka,WR,TB,23.9,4464
37,Nico Collins,WR,HOU,27.5,4396
38,Brock Purdy,QB,SF,26.7,4382
39,Kenneth Walker,RB,KC,25.9,4317
40,Tyler Warren,TE,IND,24.3,4207
41,Dak Prescott,QB,DAL,33.1,4203
42,Garrett Wilson,WR,NYJ,26.1,4076
43,Chris Olave,WR,NO,26.2,4076
44,Saquon Barkley,RB,PHI,29.6,4011
45,Fernando Mendoza,QB,LV,22.9,3995
46,A.J. Brown,WR,NE,29.2,3973
47,Carnell Tate,WR,TEN,21.6,3956
48,Ladd McConkey,WR,LAC,24.8,3912
49,Jordan Love,QB,GB,27.8,3805
50,Zay Flowers,WR,BAL,26.0,3724
51,DeVonta Smith,WR,PHI,27.8,3698
52,Breece Hall,RB,NYJ,25.3,3609
53,Luther Burden,WR,CHI,22.7,3556
54,Quinshon Judkins,RB,CLE,22.8,3501
55,Rashee Rice,WR,KC,26.4,3473
56,Jared Goff,QB,DET,31.9,3457
57,Baker Mayfield,QB,TB,31.4,3395
58,Kyren Williams,RB,LAR,26.0,3347
59,Jaylen Waddle,WR,DEN,27.8,3344
60,Tee Higgins,WR,CIN,27.6,3343
61,Tucker Kraft,TE,GB,25.8,3339
62,Jadarian Price,RB,SEA,22.9,3312
63,Tyler Shough,QB,NO,26.9,3294
64,Cam Ward,QB,TEN,24.3,3266
65,C.J. Stroud,QB,HOU,24.9,3262
66,Jordyn Tyson,WR,NO,22.1,3258
67,Rome Odunze,WR,CHI,24.3,3253
68,TreVeyon Henderson,RB,NE,23.9,3186
69,Cam Skattebo,RB,NYG,24.6,3169
70,Marvin Harrison Jr,WR,ARI,24.1,3126
71,Bucky Irving,RB,TB,24.0,3101
72,Javonte Williams,RB,DAL,26.4,3091
73,Makai Lemon,WR,PHI,22.3,3057
74,Derrick Henry,RB,BAL,32.7,3048
75,Harold Fannin,TE,CLE,22.1,3034
76,Kyler Murray,QB,MIN,29.1,2969
77,Matthew Stafford,QB,LAR,38.6,2875
78,Sam LaPorta,TE,DET,25.6,2820
79,Sam Darnold,QB,SEA,29.2,2801
80,Brian Thomas,WR,JAX,23.9,2793
81,Jameson Williams,WR,DET,25.4,2785
82,Travis Etienne,RB,NO,27.6,2760
83,Kyle Pitts,TE,ATL,25.9,2735
84,Parker Washington,WR,JAX,24.5,2707
85,KC Concepcion,WR,CLE,21.9,2677
86,Josh Jacobs,RB,GB,28.6,2667
87,Bhayshul Tuten,RB,JAX,23.6,2559
88,Bryce Young,QB,CAR,25.1,2524
89,Malik Willis,QB,MIA,27.3,2467
90,D'Andre Swift,RB,CHI,27.6,2426
91,DJ Moore,WR,BUF,29.4,2424
92,Daniel Jones,QB,IND,29.3,2381
93,Kenyon Sadiq,TE,NYJ,21.5,2361
94,Christian Watson,WR,GB,27.3,2329
95,Ty Simpson,QB,LAR,23.7,2328
96,De'Zhaun Stribling,WR,SF,23.7,2249
97,George Kittle,TE,SF,32.9,2151
98,David Montgomery,RB,HOU,29.2,2133
99,Davante Adams,WR,LAR,33.7,2109
100,Matthew Golden,WR,GB,23.1,2088
101,Jordan Addison,WR,MIN,24.6,2058
102,Terry McLaurin,WR,WAS,31.0,2027
103,Isaiah Likely,TE,NYG,26.4,1996
104,Denzel Boston,WR,CLE,22.7,1988
105,Dalton Kincaid,TE,BUF,26.9,1955
106,Alec Pierce,WR,IND,26.3,1954
107,RJ Harvey,RB,DEN,25.6,1911
108,DK Metcalf,WR,PIT,28.7,1909
109,Josh Downs,WR,IND,25.1,1908
110,Michael Wilson,WR,ARI,26.5,1887
111,Blake Corum,RB,LAR,25.8,1878
112,Rhamondre Stevenson,RB,NE,28.5,1859
113,Eli Stowers,TE,PHI,23.4,1858
114,Omar Cooper,WR,NYJ,22.7,1849
115,Wan'Dale Robinson,WR,TEN,25.7,1847
116,Jonathon Brooks,RB,CAR,23.1,1834
117,Jaylen Warren,RB,PIT,27.8,1833
118,Mike Evans,WR,SF,33.0,1831
119,Quentin Johnston,WR,LAC,25.0,1810
120,Jonah Coleman,RB,DEN,23.0,1807
121,Jake Ferguson,TE,DAL,27.6,1800
122,Jayden Reed,WR,GB,26.4,1799
123,Romeo Doubs,WR,NE,26.4,1762
124,Rico Dowdle,RB,PIT,28.2,1740
125,Mike Washington,RB,LV,23.2,1737
126,Michael Penix,QB,ATL,26.3,1729
127,Michael Pittman,WR,PIT,28.9,1726
128,Jayden Higgins,WR,HOU,23.7,1721
129,Terrance Ferguson,TE,LAR,23.5,1699
130,Jalen Coker,WR,CAR,24.8,1690
131,Kyle Monangai,RB,CHI,24.2,1688
132,Courtland Sutton,WR,DEN,30.9,1673
133,Zach Charbonnet,RB,SEA,25.7,1656
134,Chris Godwin,WR,TB,30.5,1654
135,Jacory Croskey-Merritt,RB,WAS,25.4,1650
136,Travis Hunter,WR,JAX,23.3,1649
137,Dallas Goedert,TE,PHI,31.7,1608
138,Chuba Hubbard,RB,CAR,27.2,1600
139,Oronde Gadsden,TE,LAC,23.2,1593
140,Xavier Worthy,WR,KC,23.4,1591
141,Ja'Kobi Lane,WR,BAL,22.3,1569
142,Drew Allar,QB,PIT,22.5,1563
143,Travis Kelce,TE,KC,36.9,1552
144,J.K. Dobbins,RB,DEN,27.7,1544
145,Shedeur Sanders,QB,CLE,24.6,1539
146,Malachi Fields,WR,NYG,23.0,1530
147,Nicholas Singleton,RB,TEN,22.7,1525
148,Jordan Mason,RB,MIN,27.3,1525
149,Mark Andrews,TE,BAL,31.0,1520
150,Woody Marks,RB,HOU,25.7,1516
151,Chris Bell,WR,MIA,22.2,1508
152,Jacoby Brissett,QB,ARI,33.7,1501
153,Stefon Diggs,WR,WAS,32.8,1496
154,Tua Tagovailoa,QB,ATL,28.5,1490
155,Geno Smith,QB,NYJ,35.9,1485
156,Chig Okonkwo,TE,WAS,27.0,1470
157,Kenny Gainwell,RB,TB,27.5,1447
158,Tony Pollard,RB,TEN,29.3,1445
159,Antonio Williams,WR,WAS,22.1,1437
160,AJ Barner,TE,SEA,24.3,1434
161,T.J. Hockenson,TE,MIN,29.2,1426
162,Cyrus Allen,WR,KC,23.6,1420
163,Rachaad White,RB,WAS,27.6,1412
164,Carson Beck,QB,ARI,23.8,1404
165,Rashid Shaheed,WR,SEA,28.0,1403
166,Khalil Shakir,WR,BUF,26.6,1390
167,MarShawn Lloyd,RB,GB,25.7,1383
168,Tyler Allgeier,RB,ARI,26.4,1380
169,Brenton Strange,TE,JAX,25.7,1372
