rank,name,pos,team,pos_rank,age,adp
1,Josh Allen,QB,BUF,1,30,1.25
2,Ja'Marr Chase,WR,CIN,1,26,5.25
3,Puka Nacua,WR,LAR,2,25,8.5
4,Jayden Daniels,QB,WAS,2,25,7.25
5,Justin Jefferson,WR,MIN,3,27,15.75
6,Drake Maye,QB,NE,3,23,3.75
7,Bijan Robinson,RB,ATL,1,24,5
8,Jahmyr Gibbs,RB,DET,2,24,6.25
9,Jaxon Smith-Njigba,WR,SEA,4,24,8
10,CeeDee Lamb,WR,DAL,5,27,19
11,Amon-Ra St. Brown,WR,DET,6,26,14.5
12,Malik Nabers,WR,NYG,7,23,18.25
13,Lamar Jackson,QB,BAL,4,29,3.75
14,Joe Burrow,QB,CIN,5,29,12.75
15,Ashton Jeanty,RB,LV,3,22,17.5
16,Jeremiyah Love,RB,ARI,4,21,23
17,Jonathan Taylor,RB,IND,5,27,26.5
18,Nico Collins,WR,HOU,8,27,33
19,Brock Bowers,TE,LV,1,23,12.75
20,Trey McBride,TE,ARI,2,26,17.25
21,Patrick Mahomes II,QB,KC,6,30,23
22,Chris Olave,WR,NO,9,26,42.25
23,James Cook III,RB,BUF,6,26,40
24,Jalen Hurts,QB,PHI,7,28,15.75
25,Justin Herbert,QB,LAC,8,28,17.5
26,De'Von Achane,RB,MIA,7,24,32.25
27,Drake London,WR,ATL,10,25,22
28,Trevor Lawrence,QB,JAC,9,26,24.25
29,Garrett Wilson,WR,NYJ,11,26,41.5
30,Caleb Williams,QB,CHI,10,24,9.5
31,Brock Purdy,QB,SF,11,26,30.75
32,George Pickens,WR,DAL,12,25,33.75
33,Omarion Hampton,RB,LAC,8,23,29.25
34,DeVonta Smith,WR,PHI,13,27,50.75
35,Christian McCaffrey,RB,SF,9,30,35
36,Bo Nix,QB,DEN,12,26,31.5
37,Tetairoa McMillan,WR,CAR,14,23,27.25
38,Rashee Rice,WR,KC,15,26,42.75
39,Ladd McConkey,WR,LAC,16,24,53.5
40,Rome Odunze,WR,CHI,17,24,69.25
41,Emeka Egbuka,WR,TB,18,23,34
42,Tee Higgins,WR,CIN,19,27,67.5
