"Overall","Player","Position","Positional Rank","Tier","Age"
"1","Josh Allen","QB","1","1","30.2"
"2","Drake Maye","QB","2","1","23.9"
"3","Ja'Marr Chase","WR","1","2","26.4"
"4","Jaxon Smith-Njigba","WR","2","2","24.5"
"5","Jahmyr Gibbs","RB","1","2","24.4"
"6","Lamar Jackson","QB","3","2","29.6"
"7","Bijan Robinson","RB","2","2","24.5"
"8","Puka Nacua","WR","3","2","25.2"
"9","Jayden Daniels","QB","4","2","25.6"
"10","Amon-Ra St. Brown","WR","4","3","26.8"
"11","Malik Nabers","WR","5","3","23.0"
"12","Justin Jefferson","WR","6","3","27.1"
"13","Joe Burrow","QB","5","3","29.6"
"14","Patrick Mahomes","QB","6","3","30.9"
"15","Justin Herbert","QB","7","3","28.4"
"16","Caleb Williams","QB","8","3","24.7"
"17","Ashton Jeanty","RB","3","3","22.7"
"18","Brock Bowers","TE","1","3","23.6"
"19","CeeDee Lamb","WR","7","3","27.3"
"20","Jeremiyah Love","RB","4","3","21.2"
"21","Drake London","WR","8","4","25.0"
"22","Jaxson Dart","QB","9","4","23.2"
"23","Omarion Hampton","RB","5","4","23.4"
"24","Tetairoa McMillan","WR","9","4","23.3"
"25","Emeka Egbuka","WR","10","4","23.8"
"26","De'Von Achane","RB","6","4","24.8"
"27","Jalen Hurts","QB","10","4","28.0"
"28","Bo Nix","QB","11","4","26.4"
"29","Trevor Lawrence","QB","12","4","26.8"
"30","Brock Purdy","QB","13","4","26.6"
"31","Jordan Love","QB","14","4","27.7"
"32","Trey McBride","TE","2","4","26.7"
"33","James Cook","RB","7","4","26.9"
"34","Jonathan Taylor","RB","8","4","27.5"
"35","George Pickens","WR","11","4","25.4"
"36","Nico Collins","WR","12","5","27.4"
"37","Dak Prescott","QB","15","5","33.0"
"38","Colston Loveland","TE","3","5","22.3"
"39","Luther Burden","WR","13","5","22.6"
"40","Chris Olave","WR","14","5","26.1"
"41","Garrett Wilson","WR","15","5","26.0"
"42","Ladd McConkey","WR","16","5","24.7"
"43","Kenneth Walker","RB","9","5","25.8"
"44","Zay Flowers","WR","17","5","25.9"
"45","DeVonta Smith","WR","18","5","27.7"
"46","Jordyn Tyson","WR","19","6","22.0"
"47","Carnell Tate","WR","20","6","21.5"
"48","Fernando Mendoza","QB","16","6","22.8"
"49","Quinshon Judkins","RB","10","6","22.7"
"50","TreVeyon Henderson","RB","11","6","23.8"
"51","Tyler Warren","TE","4","6","24.2"
"52","Rome Odunze","WR","21","6","24.2"
"53","CJ Stroud","QB","17","6","24.8"
"54","Tee Higgins","WR","22","6","27.5"
"55","Chase Brown","RB","12","7","26.4"
"56","Breece Hall","RB","13","7","25.2"
"57","Jaylen Waddle","WR","23","7","27.7"
"58","Christian McCaffrey","RB","14","7","30.2"
"59","Baker Mayfield","QB","18","7","31.3"
"60","Kyler Murray","QB","19","7","28.9"
"61","Tyler Shough","QB","20","7","26.8"
"62","Cam Ward","QB","21","7","24.2"
"63","Malik Willis","QB","22","7","27.2"
"64","AJ Brown","WR","24","7","29.1"
"65","Makai Lemon","WR","25","7","22.2"
"66","Marvin Harrison","WR","26","7","24.0"
"67","Saquon Barkley","RB","15","7","29.5"
"68","Rashee Rice","WR","27","7","26.3"
"69","Jared Goff","QB","23","7","31.8"
"70","Sam Darnold","QB","24","7","29.2"
"71","Brian Thomas","WR","28","7","23.8"
"72","Jameson Williams","WR","29","7","25.3"
"73","Parker Washington","WR","30","7","24.4"
"74","KC Concepcion","WR","31","7","21.9"
"75","Daniel Jones","QB","25","7","29.2"
"76","Bryce Young","QB","26","7","25.0"
"77","Kyren Williams","RB","16","7","25.9"
"78","Christian Watson","WR","32","8","27.2"
"79","Cam Skattebo","RB","17","8","24.5"
"80","Bhayshul Tuten","RB","18","8","23.5"
"81","Jadarian Price","RB","19","8","22.7"
"82","Bucky Irving","RB","20","8","23.9"
"83","Tucker Kraft","TE","5","8","25.7"
"84","Harold Fannin","TE","6","8","22.0"
"85","Javonte Williams","RB","21","8","26.3"
"86","Alec Pierce","WR","33","8","26.2"
"87","Jordan Addison","WR","34","8","24.5"
"88","Travis Etienne","RB","22","9","27.5"
"89","Sam LaPorta","TE","7","9","25.6"
"90","Matthew Stafford","QB","27","9","38.5"
"91","Kenyon Sadiq","TE","8","9","21.4"
"92","Kyle Pitts","TE","9","9","25.8"
"93","Derrick Henry","RB","23","9","32.6"
"94","Josh Downs","WR","35","10","25.0"
"95","DJ Moore","WR","36","10","29.3"
"96","Omar Cooper","WR","37","10","22.6"
"97","Michael Wilson","WR","38","10","26.4"
"98","RJ Harvey","RB","24","10","25.5"
"99","Terry McLaurin","WR","39","10","30.9"
"100","Ty Simpson","QB","28","10","23.6"
"101","Wan'Dale Robinson","WR","40","10","25.6"
"102","Josh Jacobs","RB","25","10","28.5"
"103","Jayden Reed","WR","41","10","26.3"
"104","Jayden Higgins","WR","42","10","23.6"
"105","D'Andre Swift","RB","26","11","27.5"
"106","Oronde Gadsden","TE","10","11","23.1"
"107","Jonathon Brooks","RB","27","11","23.0"
"108","DK Metcalf","WR","43","11","28.6"
"109","Travis Hunter","WR","44","11","23.2"
"110","Michael Penix","QB","29","11","26.2"
"111","David Montgomery","RB","28","11","29.2"
"112","Kyle Monangai","RB","29","11","24.4"
"113","Blake Corum","RB","30","11","25.7"
"114","Zach Charbonnet","RB","31","11","25.6"
"115","Matthew Golden","WR","45","11","23.0"
"116","Quentin Johnston","WR","46","11","24.9"
"117","Michael Pittman","WR","47","12","28.8"
"118","Mike Evans","WR","48","12","32.9"
"119","Davante Adams","WR","49","12","33.6"
"120","Denzel Boston","WR","50","12","22.7"
"121","Kenneth Gainwell","RB","32","12","27.4"
"122","Dalton Kincaid","TE","11","12","26.8"
"123","Geno Smith","QB","30","12","35.8"
"124","Jalen Coker","WR","51","12","24.8"
"125","Xavier Worthy","WR","52","12","23.3"
"126","Romeo Doubs","WR","53","12","26.3"
"127","Jakobi Meyers","WR","54","12","29.7"
"128","Isaiah Likely","TE","12","13","26.3"
"129","Jaylen Warren","RB","33","13","27.8"
"130","Rhamondre Stevenson","RB","34","13","28.4"
"131","Eli Stowers","TE","13","13","23.3"
"132","JJ McCarthy","QB","31","13","23.5"
"133","Carson Beck","QB","32","13","23.7"
"134","Germie Bernard","WR","55","13","22.7"
"135","Antonio Williams","WR","56","13","22.0"
"136","Courtland Sutton","WR","57","13","30.8"
"137","Chuba Hubbard","RB","35","13","27.1"
"138","George Kittle","TE","14","14","32.8"
"139","De'Zhaun Stribling","WR","58","14","23.6"
