Rank,Player,Pos,Team,ADP,Faraz Rank,Indicators,Tier
1,Jahmyr Gibbs,RB,DET,1.5,1,"Target, High Upside, Safe",1
2,Bijan Robinson,RB,ATL,2.6,2,"Target, High Upside, Safe",1
3,Josh Allen,QB,BUF,3,3,"High Upside, Safe",1
4,Ja'Marr Chase,WR,CIN,4.5,4,"Target, High Upside",1
5,Puka Nacua,WR,LAR,5.8,5,"High Upside, Target",1
6,Christian McCaffrey,RB,SF,7,6,"High Upside, Target",1
7,James Cook III,RB,BUF,11.6,7,"Target, High Upside, Safe",1
8,Jayden Daniels,QB,WAS,19.1,8,"High Upside, Target",1
9,Lamar Jackson,QB,BAL,8.6,9,High Upside,1
10,Jalen Hurts,QB,PHI,28.7,10,"Target, High Upside, Safe",1
11,Drake Maye,QB,NE,12.9,11,"Target, High Upside, Safe",1
12,Amon-Ra St. Brown,WR,DET,10.7,12,"Target, High Upside, Safe",2
13,Jaxon Smith-Njigba,WR,SEA,6.6,13,High Upside,2
14,Joe Burrow,QB,CIN,14.2,14,High Upside,2
15,Kenneth Walker III,RB,KC,22.2,15,"High Upside, Target",2
16,Jonathan Taylor,RB,IND,8.4,16,,2
17,Chase Brown,RB,CIN,25,17,"Target, High Upside",2
18,Saquon Barkley,RB,PHI,17.5,18,"High Upside, Safe",2
19,Trevor Lawrence,QB,JAX,40.7,19,"Target, High Upside",3
20,Caleb Williams,QB,CHI,26.7,20,"High Upside, Target",3
21,Justin Herbert,QB,LAC,32.9,21,"Target, High Upside",3
22,Brock Purdy,QB,SF,55.7,22,"Target, Safe",3
23,De'Von Achane,RB,MIA,16,23,,3
24,Omarion Hampton,RB,LAC,23.8,24,"High Upside, Target",3
25,Jaxson Dart,QB,NYG,42.7,25,High Upside,3
26,Justin Jefferson,WR,MIN,15.1,26,"High Upside, Target",3
27,Dak Prescott,QB,DAL,35.5,27,"High Upside, Safe, Target",3
28,Chris Olave,WR,NO,35.1,28,"Target, High Upside",3
29,Bo Nix,QB,DEN,48.8,29,"High Upside, Boom/Bust",3
30,Matthew Stafford,QB,LAR,60.8,30,"Boom/Bust, High Upside",3
31,A.J. Brown,WR,NE,24,31,"High Upside, Target",3
32,Drake London,WR,ATL,26.1,32,Safe,3
33,Brock Bowers,TE,LV,21.9,33,"High Upside, Target",3
34,CeeDee Lamb,WR,DAL,13,34,"High Upside, Safe",4
35,George Pickens,WR,DAL,31.1,35,"Target, High Upside",4
36,Trey McBride,TE,ARI,20.8,36,Safe,4
37,Nico Collins,WR,HOU,30.3,37,High Upside,4
38,Derrick Henry,RB,BAL,29.6,38,Boom/Bust,4
39,Javonte Williams,RB,DAL,46.1,39,"Safe, Target",5
40,Ashton Jeanty,RB,LV,17.4,40,"High Upside, Safe",5
41,Malik Nabers,WR,NYG,34.6,41,"Boom/Bust, Target, High Upside",5
42,Tee Higgins,WR,CIN,47.1,42,"Target, High Upside",5
43,DeVonta Smith,WR,PHI,49.4,43,"Target, High Upside, Safe",5
44,Garrett Wilson,WR,NYJ,56.2,44,"Safe, High Upside, Target",6
45,Jeremiyah Love,RB,ARI,33.3,45,"High Upside, Target",6
46,Kyren Williams,RB,LAR,38.6,46,"Safe, Avoid",7
47,Travis Etienne Jr.,RB,NO,58.1,47,Safe,7
48,Breece Hall,RB,NYJ,41.4,48,"High Upside, Target",7
49,Colston Loveland,TE,CHI,39.9,49,"Target, High Upside",7
50,Jaylen Waddle,WR,DEN,59.5,50,"Target, High Upside, Safe",7
51,Bhayshul Tuten,RB,JAX,74.3,51,"Target, High Upside, Boom/Bust",7
52,D'Andre Swift,RB,CHI,62.6,52,"Safe, Target",7
53,Luther Burden III,WR,CHI,64.9,53,"High Upside, Target",7
54,Zay Flowers,WR,BAL,50.2,54,"High Upside, Safe, Target",7
55,Emeka Egbuka,WR,TB,57,55,"High Upside, Avoid",7
56,Rashee Rice,WR,KC,37.1,56,High Upside,7
57,Ladd McConkey,WR,LAC,52.2,57,"Target, High Upside, Boom/Bust",7
58,Parker Washington,WR,JAX,85.8,58,"Target, High Upside",7
59,Quinshon Judkins,RB,CLE,66.3,59,"Boom/Bust, Avoid",7
60,David Montgomery,RB,HOU,65.1,60,"Safe, Target",7
61,Christian Watson,WR,GB,80.7,61,"Target, High Upside",7
62,Tyler Warren,TE,IND,51.1,62,"Target, High Upside, Safe",7
63,Mike Evans,WR,SF,77.3,63,"High Upside, Target",7
64,Rome Odunze,WR,CHI,79.7,64,"High Upside, Target",7
65,DJ Moore,WR,BUF,70.9,65,"Boom/Bust, Target",7
66,Tetairoa McMillan,WR,CAR,44.2,66,Avoid,7
67,Tucker Kraft,TE,GB,75.8,67,"High Upside, Target",7
68,Baker Mayfield,QB,TB,73.3,68,"Sleeper, Boom/Bust, High Upside",8
69,Jadarian Price,RB,SEA,82.9,69,Target,8
70,Davante Adams,WR,LAR,62.2,70,"Boom/Bust, High Upside",8
71,Jameson Williams,WR,DET,71.5,71,Boom/Bust,8
72,Bucky Irving,RB,TB,53.9,72,Avoid,8
73,J.K. Dobbins,RB,DEN,105.4,73,,
74,MarShawn Lloyd,RB,GB,163.8,74,"Target, High Upside",8
75,Terry McLaurin,WR,WAS,69.8,75,Safe,8
76,Alec Pierce,WR,IND,113.1,76,,8
77,Rhamondre Stevenson,RB,NE,92.5,77,Safe,8
78,Dallas Goedert,TE,PHI,120.1,78,"Target, High Upside, Sleeper",8
79,Marvin Harrison Jr.,WR,ARI,89.6,79,"Avoid, Boom/Bust",9
80,KC Concepcion,WR,CLE,128.1,80,"High Upside, Target",9
81,Jayden Reed,WR,GB,115.5,81,"Boom/Bust, High Upside, Target",9
82,Harold Fannin Jr.,TE,CLE,76.2,82,High Upside,9
83,Kyle Pitts Sr.,TE,ATL,78.5,83,"Boom/Bust, High Upside",9
84,Sam LaPorta,TE,DET,67.5,84,Boom/Bust,9
85,George Kittle,TE,SF,96.2,85,"High Upside, Boom/Bust",9
86,Jared Goff,QB,DET,61.3,86,Safe,9
87,Patrick Mahomes II,QB,KC,43.3,87,"Safe, Avoid",9
88,Kyler Murray,QB,MIN,83.6,88,"Target, Sleeper",9
89,Tyler Shough,QB,NO,87.8,89,Sleeper,9
90,Malik Willis,QB,MIA,103.8,90,"Sleeper, Boom/Bust",10
91,Daniel Jones,QB,IND,111.6,91,Sleeper,11
92,Dalton Kincaid,TE,BUF,93.3,92,"Sleeper, High Upside",11
93,Chris Godwin Jr.,WR,TB,102.7,93,"Target, Sleeper",11
94,Josh Downs,WR,IND,125.4,94,"Target, High Upside, Sleeper",11
95,Cam Skattebo,RB,NYG,53.7,95,"Avoid, Boom/Bust",8
96,Jordan Mason,RB,MIN,118.5,96,"Target, Sleeper",11
97,Quentin Johnston,WR,LAC,125.1,97,"High Upside, Sleeper, Target",11
98,De'Zhaun Stribling,WR,SF,132,98,"Sleeper, Target",11
99,Michael Pittman Jr.,WR,PIT,121.9,99,"Sleeper, Target",11
100,Michael Wilson,WR,ARI,98.6,100,"Boom/Bust, High Upside, Sleeper",12
101,DK Metcalf,WR,PIT,91.8,101,"Avoid, Boom/Bust",12
102,Courtland Sutton,WR,DEN,95.7,102,Avoid,12
103,Josh Jacobs,RB,GB,44.6,103,"Boom/Bust, Avoid, High Upside",11
104,Jacoby Brissett,QB,ARI,149.2,104,,12
105,Jordan Love,QB,GB,71.2,105,Avoid,12
106,Jaylen Warren,RB,PIT,84.7,106,Target,12
107,Jacory Croskey-Merritt,RB,WAS,127.7,107,"Sleeper, Boom/Bust, High Upside",12
108,Jordan Addison,WR,MIN,116.3,108,"Sleeper, Target, High Upside, Boom/Bust",12
109,Stefon Diggs,WR,WAS,122.2,109,"Sleeper, Target",12
110,Romeo Doubs,WR,NE,136.2,110,,12
111,Sam Darnold,QB,SEA,86.6,111,,12
112,Geno Smith,QB,NYJ,170.7,112,,12
113,Cam Ward,QB,TEN,107.9,113,,12
114,Aaron Rodgers,QB,PIT,145.3,114,,12
115,Jonathon Brooks,RB,CAR,109.4,115,"Target, High Upside, Sleeper",12
116,Carnell Tate,WR,TEN,80,116,High Upside,12
117,Isaiah Likely,TE,NYG,110.6,117,"High Upside, Target, Sleeper",12
118,TreVeyon Henderson,RB,NE,68.9,118,"Avoid, High Upside, Boom/Bust",12
119,Tony Pollard,RB,TEN,97.6,119,,12
120,Blake Corum,RB,LAR,112.2,120,,12
121,Jordyn Tyson,WR,NO,107.7,121,"Avoid, High Upside",12
122,Denzel Boston,WR,CLE,179.2,122,"Target, Sleeper, High Upside",12
123,Travis Kelce,TE,KC,94.1,123,,12
124,Matthew Golden,WR,GB,133.5,124,Boom/Bust,12
125,Jake Ferguson,TE,DAL,106.8,125,Safe,12
126,Chig Okonkwo,TE,WAS,178.4,126,"High Upside, Target, Sleeper",12
127,Brian Thomas Jr.,WR,JAX,89.4,127,"Avoid, Boom/Bust",12
128,Terrance Ferguson,TE,LAR,205.4,128,"Target, Sleeper",12
129,Bryce Young,QB,CAR,123.9,129,,12
130,C.J. Stroud,QB,HOU,98.9,130,,12
131,Kirk Cousins,QB,LV,199.4,131,,12
132,Tua Tagovailoa,QB,ATL,197.8,132,,12
133,Tank Bigsby,RB,PHI,186.5,133,High Upside,12
134,Rico Dowdle,RB,PIT,100.7,134,Boom/Bust,12
135,RJ Harvey,RB,DEN,88.3,135,"Avoid, Boom/Bust, High Upside",12
136,Tyjae Spears,RB,TEN,181.6,136,"Sleeper, High Upside, Target",12
137,Deebo Samuel Sr.,WR,SF,137,137,,12
138,Deshaun Watson,QB,CLE,202.4,138,,12
139,Kenny Gainwell,RB,TB,124.7,139,"Target, Sleeper",12
140,Makai Lemon,WR,PHI,104.2,140,High Upside,12
141,Wan'Dale Robinson,WR,TEN,129.6,141,"Target, Safe",12
142,Jakobi Meyers,WR,JAX,130.4,142,,12
143,Juwan Johnson,TE,NO,152.8,143,"Target, Sleeper",12
144,Jalen Coker,WR,CAR,152.7,144,"Target, Sleeper",12
145,Rachaad White,RB,WAS,138.6,145,,12
146,Rashid Shaheed,WR,SEA,155.8,146,"Target, Sleeper, High Upside",12
147,Chuba Hubbard,RB,CAR,101.4,147,Avoid,12
148,Keaton Mitchell,RB,LAC,183.8,148,"Sleeper, High Upside",12
149,Ray Davis,RB,BUF,236.7,149,"Target, High Upside",12
150,Dalton Schultz,TE,HOU,177,150,"Sleeper, Target",12
151,Woody Marks,RB,HOU,154.3,151,Avoid,12
152,Jalen McMillan,WR,TB,214,152,Sleeper,12
153,Adonai Mitchell,WR,NYJ,237.4,153,Sleeper,12
154,Kyle Monangai,RB,CHI,114.2,154,Avoid,12
155,Tyler Allgeier,RB,ARI,139.6,155,,12
156,Mark Andrews,TE,BAL,116.4,156,Safe,12
157,Rashod Bateman,WR,BAL,273.9,157,"Sleeper, Target",12
158,Mike Washington Jr.,RB,LV,146.7,158,,12
159,Kenyon Sadiq,TE,NYJ,176.5,159,"Sleeper, High Upside",12
160,Emmett Johnson,RB,KC,206.7,160,,12
161,George Holani,RB,SEA,271.3,161,,12
162,Chris Rodriguez Jr.,RB,JAX,150.1,162,,12
163,Khalil Shakir,WR,BUF,151.6,163,,12
164,Tre Tucker,WR,LV,203.6,164,Sleeper,12
165,Kayshon Boutte,WR,HOU,204.2,165,,12
166,Najee Harris,RB,NYG,227.8,166,,12
167,Xavier Worthy,WR,KC,134.4,167,"Boom/Bust, Avoid",12
168,Pat Bryant,WR,DEN,240.5,168,Sleeper,12
169,Tyrone Tracy Jr.,RB,NYG,160.3,169,,12
170,Jaylin Noel,WR,HOU,269.9,170,"Target, Sleeper",12
