Rank,Player,Pos,Team,ADP,Faraz Rank,Indicators,Tier
1,Josh Allen,QB,BUF,3.5,3,"High Upside, Safe",1
2,Jayden Daniels,QB,WAS,17.2,8,"High Upside, Target",1
3,Lamar Jackson,QB,BAL,8.1,9,High Upside,1
4,Jalen Hurts,QB,PHI,28.4,10,"Target, High Upside, Safe",1
5,Drake Maye,QB,NE,10.3,11,"Target, High Upside, Safe",1
6,Joe Burrow,QB,CIN,14.5,14,High Upside,2
7,Trevor Lawrence,QB,JAX,41.4,19,"Target, High Upside",3
8,Caleb Williams,QB,CHI,24.8,20,"High Upside, Target",3
9,Justin Herbert,QB,LAC,32.2,21,"Target, High Upside",3
10,Brock Purdy,QB,SF,53.5,22,"Target, Safe",3
11,Jaxson Dart,QB,NYG,40.5,25,High Upside,3
12,Dak Prescott,QB,DAL,37.7,27,"High Upside, Safe, Target",3
13,Bo Nix,QB,DEN,46.7,29,"High Upside, Boom/Bust",3
14,Matthew Stafford,QB,LAR,62.7,30,"Boom/Bust, High Upside",3
15,Baker Mayfield,QB,TB,71.3,68,"Sleeper, Boom/Bust, High Upside",8
16,Jared Goff,QB,DET,61.7,86,Safe,9
17,Patrick Mahomes II,QB,KC,44.4,87,"Safe, Avoid",9
18,Kyler Murray,QB,MIN,82,88,"Target, Sleeper",9
19,Tyler Shough,QB,NO,85.4,89,Sleeper,9
20,Malik Willis,QB,MIA,104.8,90,"Sleeper, Boom/Bust",10
21,Daniel Jones,QB,IND,111.5,91,Sleeper,11
22,Jacoby Brissett,QB,ARI,143.7,105,,11
23,Jordan Love,QB,GB,70.3,106,Avoid,10
24,Sam Darnold,QB,SEA,86.4,112,,12
25,Geno Smith,QB,NYJ,145.7,113,,12
26,Cam Ward,QB,TEN,103.2,114,,12
27,Aaron Rodgers,QB,PIT,142.1,115,,12
28,Bryce Young,QB,CAR,116.6,130,,12
29,C.J. Stroud,QB,HOU,95.2,131,,12
30,Kirk Cousins,QB,LV,209.9,132,,12
