Rank,Player,Pos,Team,ADP,Faraz Rank,Indicators,Tier
1,Josh Allen,QB,BUF,3.6,3,"High Upside, Safe",1
2,Jayden Daniels,QB,WAS,19,8,"High Upside, Target",1
3,Lamar Jackson,QB,BAL,8.5,9,High Upside,1
4,Jalen Hurts,QB,PHI,28.7,10,"Target, High Upside, Safe",1
5,Drake Maye,QB,NE,11.2,11,"Target, High Upside, Safe",1
6,Joe Burrow,QB,CIN,14.3,14,High Upside,2
7,Trevor Lawrence,QB,JAX,40.5,19,"Target, High Upside",3
8,Caleb Williams,QB,CHI,26.4,20,"High Upside, Target",3
9,Justin Herbert,QB,LAC,32.9,21,"Target, High Upside",3
10,Brock Purdy,QB,SF,55.9,22,"Target, Safe",3
11,Jaxson Dart,QB,NYG,42.8,25,High Upside,3
12,Dak Prescott,QB,DAL,35.6,27,"High Upside, Safe, Target",3
13,Bo Nix,QB,DEN,48.6,29,"High Upside, Boom/Bust",3
14,Matthew Stafford,QB,LAR,60.9,30,"Boom/Bust, High Upside",3
15,Baker Mayfield,QB,TB,73.2,68,"Sleeper, Boom/Bust, High Upside",8
16,Jared Goff,QB,DET,61.1,86,Safe,9
17,Patrick Mahomes II,QB,KC,44.4,87,"Safe, Avoid",9
18,Kyler Murray,QB,MIN,82.2,88,"Target, Sleeper",9
19,Tyler Shough,QB,NO,87.6,89,Sleeper,9
20,Malik Willis,QB,MIA,104.9,90,"Sleeper, Boom/Bust",10
21,Daniel Jones,QB,IND,110.1,91,Sleeper,11
22,Jacoby Brissett,QB,ARI,143.8,105,,12
23,Jordan Love,QB,GB,71.9,106,Avoid,12
24,Sam Darnold,QB,SEA,86.6,112,,12
25,Geno Smith,QB,NYJ,173.5,113,,12
26,Cam Ward,QB,TEN,107.3,114,,12
27,Aaron Rodgers,QB,PIT,141.3,115,,12
28,Bryce Young,QB,CAR,121.4,130,,12
29,C.J. Stroud,QB,HOU,98.9,131,,12
30,Kirk Cousins,QB,LV,200,132,,12
31,Tua Tagovailoa,QB,ATL,183.7,133,,12
32,Deshaun Watson,QB,CLE,203.7,139,,12
33,Fernando Mendoza,QB,LV,118.7,177,,12
34,Shedeur Sanders,QB,CLE,208.6,183,,12
35,Michael Penix Jr.,QB,ATL,210.7,185,,12
36,Carson Beck,QB,ARI,235.8,,,
37,Will Howard,QB,PIT,240.9,,,
38,Ty Simpson,QB,LAR,247.2,,,
39,Quinn Ewers,QB,JAX,258.6,,,
40,J.J. McCarthy,QB,MIN,262.4,,,
1,Jahmyr Gibbs,RB,DET,1.8,1,"Target, High Upside, Safe",1
2,Bijan Robinson,RB,ATL,2,2,"Target, High Upside, Safe",1
3,Christian McCaffrey,RB,SF,7,6,"High Upside, Target",1
4,James Cook III,RB,BUF,12.4,7,"Target, High Upside, Safe",1
5,Kenneth Walker III,RB,KC,22.3,15,"High Upside, Target",2
6,Jonathan Taylor,RB,IND,8,16,,2
7,Chase Brown,RB,CIN,25.3,17,"Target, High Upside",2
8,Saquon Barkley,RB,PHI,17.5,18,"High Upside, Safe",2
9,De'Von Achane,RB,MIA,16.4,23,,3
10,Derrick Henry,RB,BAL,29.2,24,Boom/Bust,3
11,Omarion Hampton,RB,LAC,23.1,37,"High Upside, Target",4
12,Javonte Williams,RB,DAL,47.7,38,"Safe, Target",5
13,Kyren Williams,RB,LAR,38.6,39,"Safe, Avoid",6
