Rank,Player,Pos,Team,ADP,Faraz Rank,Indicators,Tier
1,Josh Allen,QB,BUF,1.2,3,"High Upside, Safe",1
2,Bijan Robinson,RB,ATL,2.4,2,"Target, High Upside, Safe",1
3,Drake Maye,QB,NE,3.5,8,"Target, High Upside, Safe",1
4,Jahmyr Gibbs,RB,DET,4.5,1,"Target, High Upside, Safe",1
5,Ja'Marr Chase,WR,CIN,5.2,4,"Target, High Upside",1
6,Puka Nacua,WR,LAR,6.4,5,"High Upside, Target",1
7,Jaxon Smith-Njigba,WR,SEA,7.2,13,High Upside,2
8,Jayden Daniels,QB,WAS,8,10,"High Upside, Target",1
9,Christian McCaffrey,RB,SF,9.7,6,"High Upside, Target",1
10,Joe Burrow,QB,CIN,10.4,14,High Upside,2
11,Lamar Jackson,QB,BAL,11.1,9,High Upside,1
12,Jonathan Taylor,RB,IND,12.5,15,,2
13,James Cook III,RB,BUF,13.8,7,"Target, High Upside, Safe",1
14,Caleb Williams,QB,CHI,14.2,22,"High Upside, Boom/Bust, Avoid",3
15,CeeDee Lamb,WR,DAL,15.6,28,"High Upside, Safe",4
16,Amon-Ra St. Brown,WR,DET,16.3,12,"Target, High Upside, Safe",2
17,Justin Jefferson,WR,MIN,17.6,31,High Upside,4
18,Drake London,WR,ATL,18.6,26,Safe,3
19,Ashton Jeanty,RB,LV,20.5,23,"High Upside, Target",3
20,De'Von Achane,RB,MIA,21.2,37,"Avoid, Boom/Bust",5
21,Trey McBride,TE,ARI,22.3,35,Safe,4
22,Jaxson Dart,QB,NYG,23.2,25,High Upside,3
23,Justin Herbert,QB,LAC,24.9,21,"Target, High Upside",3
24,Jalen Hurts,QB,PHI,25.3,11,"Target, High Upside, Safe",1
25,Patrick Mahomes II,QB,KC,26.1,86,Safe,9
26,Kenneth Walker III,RB,KC,27.4,17,"High Upside, Target",2
27,Omarion Hampton,RB,LAC,27.9,38,High Upside,4
28,Saquon Barkley,RB,PHI,29.3,16,"High Upside, Safe",2
29,A.J. Brown,WR,NE,30.3,43,"High Upside, Target",5
30,Jeremiyah Love,RB,ARI,31,47,High Upside,6
31,Trevor Lawrence,QB,JAX,32,19,"Target, High Upside",3
32,Nico Collins,WR,HOU,32.7,40,High Upside,5
33,Bo Nix,QB,DEN,33.4,29,"High Upside, Boom/Bust",4
34,Chase Brown,RB,CIN,34.5,18,"Target, High Upside",2
35,George Pickens,WR,DAL,35.9,36,"Target, High Upside",4
36,Brock Purdy,QB,SF,36.2,20,"Target, Safe",3
37,Brock Bowers,TE,LV,37.4,32,"High Upside, Target",4
38,Chris Olave,WR,NO,39,33,"Target, High Upside",4
39,Fernando Mendoza,QB,LV,39.5,134,,12
40,Josh Jacobs,RB,GB,40.1,41,"Target, High Upside, Boom/Bust",5
41,Bucky Irving,RB,TB,42.1,96,Avoid,10
42,Malik Nabers,WR,NYG,42.4,42,"Boom/Bust, Target, High Upside",5
43,Rashee Rice,WR,KC,44,34,High Upside,4
44,Dak Prescott,QB,DAL,44.1,27,"High Upside, Safe, Target",3
45,Derrick Henry,RB,BAL,45.7,24,Boom/Bust,3
46,Tee Higgins,WR,CIN,46.5,44,"Target, High Upside",5
47,Tetairoa McMillan,WR,CAR,47.2,66,Avoid,8
48,Breece Hall,RB,NYJ,48.4,59,High Upside,7
49,Jordan Love,QB,GB,50,105,Avoid,11
50,Kyren Williams,RB,LAR,50.6,46,"Safe, Avoid",6
51,Garrett Wilson,WR,NYJ,51.4,55,"Safe, High Upside, Target",7
52,Luther Burden III,WR,CHI,52.8,50,"High Upside, Target",7
53,Travis Etienne Jr.,RB,NO,54,48,Safe,6
54,Javonte Williams,RB,DAL,54.8,39,"Safe, Target",5
55,Jaylen Waddle,WR,DEN,55.3,53,"Target, High Upside, Safe",6
56,Davante Adams,WR,LAR,56.5,65,"Boom/Bust, High Upside",7
57,Ladd McConkey,WR,LAC,57.3,57,"Target, High Upside, Boom/Bust",6
58,Colston Loveland,TE,CHI,58.4,49,"Target, High Upside",6
59,Zay Flowers,WR,BAL,60,56,"High Upside, Safe, Target",6
60,Jameson Williams,WR,DET,60.9,64,Boom/Bust,7
61,TreVeyon Henderson,RB,NE,61.5,78,"Avoid, High Upside, Boom/Bust",8
62,DeVonta Smith,WR,PHI,63,45,"Target, High Upside, Safe",5
63,Emeka Egbuka,WR,TB,63.7,54,"Target, High Upside",6
64,Baker Mayfield,QB,TB,64,68,"Sleeper, Boom/Bust, High Upside",8
65,Jared Goff,QB,DET,65.1,88,Safe,9
66,Terry McLaurin,WR,WAS,67,70,Safe,7
67,Tyler Warren,TE,IND,67.4,67,"Target, High Upside, Safe",7
68,RJ Harvey,RB,DEN,68.3,135,"Avoid, Boom/Bust, High Upside",12
69,DJ Moore,WR,BUF,69.9,71,"Boom/Bust, Target",8
70,Cam Skattebo,RB,NYG,70.8,51,"High Upside, Target",6
71,Bhayshul Tuten,RB,JAX,71.2,52,"Target, High Upside, Boom/Bust",6
72,Cam Ward,QB,TEN,72,106,"Sleeper, Boom/Bust, High Upside",11
73,Mike Evans,WR,SF,73.1,63,High Upside,6
74,Carnell Tate,WR,TEN,74.2,76,High Upside,8
75,D'Andre Swift,RB,CHI,75.3,69,"Safe, Target",8
76,C.J. Stroud,QB,HOU,76.4,132,,12
77,Quinshon Judkins,RB,CLE,77.3,72,"Boom/Bust, Avoid",8
78,Tyler Shough,QB,NO,78.9,89,Sleeper,9
79,Harold Fannin Jr.,TE,CLE,79.7,79,High Upside,8
80,Sam Darnold,QB,SEA,80.8,114,,12
81,Christian Watson,WR,GB,81.2,61,"Target, High Upside",7
82,David Montgomery,RB,HOU,82.7,60,"Safe, Target",7
83,Jaylen Warren,RB,PIT,83.7,97,Target,10
84,Kyler Murray,QB,MIN,84.7,87,"Target, Sleeper",9
85,Rome Odunze,WR,CHI,85.8,58,High Upside,6
86,Jordyn Tyson,WR,NO,86.9,94,"Sleeper, High Upside, Target",9
87,Bryce Young,QB,CAR,87.3,131,,12
88,Matthew Stafford,QB,LAR,88.4,30,"Boom/Bust, High Upside",4
89,Tucker Kraft,TE,GB,89.5,62,"High Upside, Target",7
90,Courtland Sutton,WR,DEN,90.9,82,Avoid,10
91,Kyle Pitts Sr.,TE,ATL,91.1,83,Boom/Bust,9
92,Daniel Jones,QB,IND,93,113,Avoid,12
93,Malik Willis,QB,MIA,94,90,"Sleeper, Boom/Bust",10
94,DK Metcalf,WR,PIT,94,100,"Avoid, Boom/Bust",10
95,Rhamondre Stevenson,RB,NE,95.9,74,Safe,8
96,Michael Wilson,WR,ARI,96.5,110,"Boom/Bust, High Upside, Sleeper",11
97,Makai Lemon,WR,PHI,97.6,101,High Upside,10
98,Jakobi Meyers,WR,JAX,98.2,142,,12
99,Brian Thomas Jr.,WR,JAX,100,123,"Avoid, Boom/Bust, High Upside",11
100,Kyle Monangai,RB,CHI,100.7,147,Avoid,12
101,Sam LaPorta,TE,DET,101,84,"Boom/Bust, Sleeper",9
102,Dalton Kincaid,TE,BUF,102.8,93,"Sleeper, High Upside",10
103,Parker Washington,WR,JAX,103,75,"Target, High Upside",8
104,Marvin Harrison Jr.,WR,ARI,103.1,80,"Avoid, Boom/Bust",9
105,Tony Pollard,RB,TEN,104.5,108,,11
106,Rico Dowdle,RB,PIT,105.9,137,Boom/Bust,12
107,Oronde Gadsden II,TE,LAC,106.3,173,Avoid,12
108,Chuba Hubbard,RB,CAR,107.9,121,Avoid,12
109,Blake Corum,RB,LAR,108,120,,12
110,Alec Pierce,WR,IND,110.9,81,Target,9
111,Chris Godwin Jr.,WR,TB,111.4,103,"Target, Sleeper",11
112,Hunter Henry,TE,NE,113.6,161,,12
113,Dallas Goedert,TE,PHI,114.3,92,"Target, High Upside, Sleeper",10
114,J.K. Dobbins,RB,DEN,115.9,77,Avoid,8
115,Mark Andrews,TE,BAL,117,119,Safe,12
116,Jake Ferguson,TE,DAL,117.1,129,Safe,12
117,Dalton Schultz,TE,HOU,118.6,152,Sleeper,12
118,Jordan Addison,WR,MIN,119.8,95,"Sleeper, Target, High Upside, Boom/Bust",10
119,Ty Simpson,QB,LAR,120.2,,,
120,George Kittle,TE,SF,121.1,85,"High Upside, Boom/Bust",9
121,Brian Robinson Jr.,RB,ATL,122.2,246,,12
122,Juwan Johnson,TE,NO,123.6,158,,12
123,Brenton Strange,TE,JAX,125,192,Avoid,12
124,Wan'Dale Robinson,WR,TEN,125,128,"Target, Sleeper",12
125,Travis Kelce,TE,KC,126.1,125,,12
126,Michael Pittman Jr.,WR,PIT,127,99,"Sleeper, Target",10
127,Kenyon Sadiq,TE,NYJ,128.2,145,"Sleeper, High Upside",12
128,Quentin Johnston,WR,LAC,129.2,98,High Upside,10
129,Aaron Jones Sr.,RB,MIN,130.8,168,Avoid,12
130,Kenny Gainwell,RB,TB,131.2,122,"Target, Sleeper",12
131,Isaiah Likely,TE,NYG,132.9,127,"High Upside, Target, Sleeper",12
132,Stefon Diggs,WR,WAS,133,109,"Sleeper, Target",12
133,Tyler Allgeier,RB,ARI,134.3,164,,12
134,Romeo Doubs,WR,NE,135.8,118,Target,12
135,James Conner,RB,ARI,136.9,200,Avoid,12
136,Jayden Reed,WR,GB,137.3,139,"Boom/Bust, High Upside",12
137,Jacory Croskey-Merritt,RB,WAS,138.5,117,"Sleeper, Boom/Bust, High Upside",12
138,Khalil Shakir,WR,BUF,140,154,,12
139,Jauan Jennings,WR,MIN,141,174,Avoid,12
140,Xavier Worthy,WR,KC,141,143,"Boom/Bust, Avoid",12
141,AJ Barner,TE,SEA,143,224,,12
142,Jadarian Price,RB,SEA,143,73,Target,8
143,Zach Charbonnet,RB,SEA,145,220,,12
144,Tua Tagovailoa,QB,ATL,146,116,,12
145,Jayden Higgins,WR,HOU,146.7,155,Boom/Bust,12
146,T.J. Hockenson,TE,MIN,148,205,,12
147,Woody Marks,RB,HOU,148.8,160,Avoid,12
148,KC Concepcion,WR,CLE,149.9,111,"High Upside, Target",11
149,Michael Penix Jr.,QB,ATL,150.4,186,,12
150,J.J. McCarthy,QB,MIN,151.5,,,
151,David Njoku,TE,LAC,152.8,247,,12
152,Jalen Coker,WR,CAR,153.2,144,"Target, Sleeper",12
153,Tyrone Tracy Jr.,RB,NYG,154.4,150,,12
154,Jordan Mason,RB,MIN,155.4,107,"Target, Sleeper",11
155,Josh Downs,WR,IND,156.2,102,"Target, High Upside, Sleeper",10
156,Emmett Johnson,RB,KC,157.6,182,,12
157,Colby Parkinson,TE,LAR,158.1,221,,12
158,Jacoby Brissett,QB,ARI,159.6,91,,10
159,Chig Okonkwo,TE,WAS,161,130,"High Upside, Target, Sleeper",12
160,Trey Benson,RB,ARI,161,209,,12
161,Shedeur Sanders,QB,CLE,162,184,,12
162,Mason Taylor,TE,NYJ,163.4,243,,12
163,Jonah Coleman,RB,DEN,164.1,214,,12
164,Eli Stowers,TE,PHI,165.2,237,,12
165,Alvin Kamara,RB,NO,166.1,185,,12
166,Terrance Ferguson,TE,LAR,167,180,,12
167,Tyjae Spears,RB,TEN,168,141,"Sleeper, High Upside",12
168,Rachaad White,RB,WAS,169.1,138,Target,12
169,Theo Johnson,TE,NYG,170.6,,,
170,Tyreek Hill,WR,,171,193,Avoid,12
171,Cade Otton,TE,TB,173,259,,12
172,Deebo Samuel Sr.,WR,SF,173.4,112,,11
173,Omar Cooper Jr.,WR,NYJ,174.5,166,"Sleeper, High Upside",12
174,Dylan Sampson,RB,CLE,175.8,156,High Upside,12
175,Gunnar Helm,TE,TEN,176.4,228,,12
176,Denzel Boston,WR,CLE,177.9,126,"Target, Sleeper, High Upside",12
177,Antonio Williams,WR,WAS,179.8,167,Sleeper,12
178,Travis Hunter,WR,JAX,180.4,169,,12
179,Mac Jones,QB,SF,181,,,
180,Anthony Richardson,QB,IND,182.2,,,
181,Matthew Golden,WR,GB,184,124,"Avoid, Boom/Bust",12
182,Jerry Jeudy,WR,CLE,185,191,Boom/Bust,12
183,Braelon Allen,RB,NYJ,185.4,223,,12
184,Geno Smith,QB,NYJ,186.5,133,,12
185,Rashid Shaheed,WR,SEA,187.2,146,"Target, Sleeper, Boom/Bust, High Upside",12
186,Adonai Mitchell,WR,NYJ,188.2,159,Sleeper,12
187,Kayshon Boutte,WR,NE,189.7,175,,12
188,Mike Washington Jr.,RB,LV,190.6,153,,12
189,Jalen McMillan,WR,TB,192,148,Sleeper,12
190,Kimani Vidal,RB,LAC,193,234,,12
191,Chris Rodriguez Jr.,RB,JAX,193.8,157,,12
192,Jonathon Brooks,RB,CAR,194.1,104,"Target, High Upside, Sleeper",11
193,Troy Franklin,WR,DEN,195.2,181,High Upside,12
194,Pat Bryant,WR,DEN,196.1,233,,12
195,Tank Bigsby,RB,PHI,197.7,136,High Upside,12
196,Chimere Dike,WR,TEN,199,210,,12
197,Keaton Mitchell,RB,LAC,199.2,163,"Sleeper, High Upside",
198,Brandon Aiyuk,WR,SF,200,218,,12
199,Isiah Pacheco,RB,DET,201.4,245,,12
200,Jake Tonges,TE,SF,202.4,,,
201,Sean Tucker,RB,TB,204,198,,12
202,Tre' Harris,WR,LAC,204.8,222,,12
203,Calvin Ridley,WR,TEN,205.3,190,Avoid,12
204,Kaytron Allen,RB,WAS,206.7,208,,12
205,Ja'Kobi Lane,WR,BAL,207.3,276,,12
206,Isaac TeSlaa,WR,DET,209,232,,12
207,Elic Ayomanor,WR,TEN,210,204,,12
208,Emanuel Wilson,RB,SEA,210.4,207,,12
209,Joe Mixon,RB,,211.2,227,,12
210,Zachariah Branch,WR,ATL,212.8,238,,12
211,Tank Dell,WR,HOU,213.9,258,,12
212,Tre Tucker,WR,LV,214.2,183,,12
213,Justin Fields,QB,KC,216,,,
214,Garrett Nussmeier,QB,KC,216.2,,,
215,Ray Davis,RB,BUF,217.1,149,"Target, High Upside",12
216,Nicholas Singleton,RB,TEN,218.9,213,,12
217,Aaron Rodgers,QB,PIT,219.9,115,,12
218,Devin Neal,RB,NO,220.1,226,,12
219,Najee Harris,RB,,221.2,261,,12
220,Jaylin Noel,WR,HOU,222.4,172,,12
221,Jaylen Wright,RB,MIA,223.3,248,,12
222,Kaleb Johnson,RB,PIT,224.7,253,,12
223,Demond Claiborne,RB,MIN,225.8,231,,12
224,Marvin Mims Jr.,WR,DEN,226.8,240,,12
225,Jalen Milroe,QB,SEA,227.2,,,
